Validator,PT_VERSION,2.11.0
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmTunableOp_BFloat16_TN,tn_3840_36480_1280_ld_1280_1280_3840,Gemm_Rocblas_-1140857036,3.77607
GemmTunableOp_BFloat16_TN,tn_1280_36480_1280_ld_1280_1280_1280,Gemm_Rocblas_-1140857034,1.2455
GemmTunableOp_BFloat16_TN,tn_3420_36480_1280_ld_1280_1280_3420,Gemm_Rocblas_-1140857036,3.48255
GemmTunableOp_BFloat16_TN,tn_1280_36480_3420_ld_3420_3420_1280,Gemm_Rocblas_-1140857009,3.17169
GemmTunableOp_BFloat16_TN,tn_5120_9120_5120_ld_5120_5120_5120,Gemm_Rocblas_-1140857081,5.93974
GemmTunableOp_BFloat16_TN,tn_1280_9120_5120_ld_5120_5120_1280,Gemm_Rocblas_-1140857091,1.57321
GemmTunableOp_BFloat16_TN,tn_3840_18240_1280_ld_1280_1280_3840,Gemm_Rocblas_-1140857036,1.9924
GemmTunableOp_BFloat16_TN,tn_1280_18240_1280_ld_1280_1280_1280,Gemm_Rocblas_-1140857039,0.600596
GemmTunableOp_BFloat16_TN,tn_3420_18240_1280_ld_1280_1280_3420,Gemm_Rocblas_-1140857035,1.90407
GemmTunableOp_BFloat16_TN,tn_1280_18240_3420_ld_3420_3420_1280,Default,1.69319
GemmTunableOp_BFloat16_TN,tn_5120_4560_5120_ld_5120_5120_5120,Gemm_Rocblas_-1140857099,3.00448
GemmTunableOp_BFloat16_TN,tn_1280_4560_5120_ld_5120_5120_1280,Gemm_Rocblas_-1140857091,0.729086
GemmStridedBatchedTunableOp_float_NN,nn_1146_40_1_B_12_ld_1146_1_1146,Gemm_Rocblas_-1140853745,0.00951427
GemmTunableOp_BFloat16_TN,tn_1280_13752_1280_ld_1280_1280_1280,Gemm_Rocblas_-1140857082,0.508134
GemmTunableOp_BFloat16_TN,tn_320_13752_1280_ld_1280_1280_320,Gemm_Rocblas_-1140857088,0.132732
GemmTunableOp_BFloat16_TN,tn_6400_13752_1280_ld_1280_1280_6400,Gemm_Rocblas_-1140857035,2.3805
GemmTunableOp_BFloat16_TN,tn_1280_13752_6400_ld_6400_6400_1280,Gemm_Rocblas_-1140857042,2.40032
GemmTunableOp_BFloat16_TN,tn_67577_12_1280_ld_1280_1280_67577,Gemm_Rocblas_-1140857064,0.241705
GemmTunableOp_BFloat16_TN,tn_1280_12_1280_ld_1280_1280_1280,Gemm_Rocblas_-1140857058,0.0134106
GemmTunableOp_BFloat16_TN,tn_6_12_1280_ld_1280_1280_6,Gemm_Rocblas_-1140857058,0.0134366
GemmStridedBatchedTunableOp_float_TN,tn_40_1_1_B_12_ld_1_1_1,Default,0.0142398
GemmTunableOp_BFloat16_TN,tn_320_12_1280_ld_1280_1280_320,Gemm_Rocblas_-1140857071,0.013461
GemmTunableOp_BFloat16_TN,tn_6400_12_1280_ld_1280_1280_6400,Gemm_Rocblas_-1140857076,0.0194725
GemmTunableOp_BFloat16_TN,tn_1280_12_6400_ld_6400_6400_1280,Gemm_Hipblaslt_461,0.0324768
GemmTunableOp_BFloat16_TN,tn_3840_13680_1280_ld_1280_1280_3840,Gemm_Rocblas_-1140857035,1.57999
GemmTunableOp_BFloat16_TN,tn_1280_13680_1280_ld_1280_1280_1280,Gemm_Rocblas_-1140857084,0.464593
GemmTunableOp_BFloat16_TN,tn_3420_13680_1280_ld_1280_1280_3420,Gemm_Rocblas_-1140857042,1.46546
